logged_at,route,id,frame_index,timestamp,visibility,nose_x,nose_y,nose_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,brightness,baseline_signature,baseline_brightness,z_threshold,shoulder_threshold,round_shoulder_ratio,round_shoulder_z_threshold,dark_mode,dark_abs_threshold,dark_relative_ratio
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,20,2026-05-13T05:47:21.107Z,0.998229,0.537177,0.560486,-0.085271,0.58247,0.516035,-0.046579,0.474865,0.526743,-0.054895,0.679422,0.82025,-0.025176,0.375903,0.858864,-0.041112,148,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,21,2026-05-13T05:47:21.378Z,0.998259,0.53894,0.560605,-0.086462,0.581723,0.517251,-0.045928,0.476373,0.527204,-0.056138,0.675289,0.819748,-0.022139,0.375064,0.855786,-0.041579,148,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,22,2026-05-13T05:47:21.654Z,0.998342,0.537327,0.560348,-0.085105,0.579493,0.517937,-0.045285,0.476238,0.527041,-0.055435,0.672898,0.819632,-0.022749,0.374082,0.854628,-0.041519,148,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,23,2026-05-13T05:47:21.926Z,0.998423,0.524546,0.561899,-0.089543,0.578063,0.518025,-0.051657,0.470917,0.527535,-0.057302,0.675764,0.819598,-0.030503,0.373032,0.854797,-0.041532,148,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,24,2026-05-13T05:47:22.196Z,0.998509,0.526012,0.562909,-0.088859,0.57769,0.518127,-0.050415,0.470641,0.5277,-0.057258,0.675778,0.82015,-0.029059,0.372976,0.85471,-0.042316,148,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,25,2026-05-13T05:47:22.467Z,0.99857,0.529945,0.566377,-0.088852,0.577471,0.518848,-0.050063,0.471503,0.530777,-0.058118,0.674522,0.815851,-0.027275,0.373108,0.855722,-0.04342,147,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,26,2026-05-13T05:47:22.741Z,0.998586,0.530273,0.566572,-0.090363,0.577414,0.518052,-0.051205,0.471665,0.530842,-0.05901,0.678275,0.816228,-0.028793,0.373355,0.85592,-0.043562,147,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,27,2026-05-13T05:47:23.012Z,0.998635,0.530486,0.563954,-0.093089,0.578215,0.516254,-0.053848,0.471708,0.528289,-0.059542,0.683325,0.819755,-0.031937,0.373392,0.857684,-0.043178,147,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,28,2026-05-13T05:47:23.284Z,0.998706,0.530647,0.56843,-0.090324,0.579398,0.517414,-0.052587,0.473081,0.530569,-0.058773,0.687936,0.824618,-0.031207,0.377732,0.858779,-0.043294,147,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,29,2026-05-13T05:47:23.556Z,0.998675,0.536563,0.56848,-0.090665,0.579965,0.518458,-0.053118,0.476639,0.533149,-0.059998,0.688775,0.826117,-0.031427,0.377454,0.860801,-0.044505,147,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,30,2026-05-13T05:47:23.825Z,0.998728,0.530801,0.567751,-0.092262,0.579924,0.518401,-0.056585,0.475157,0.530064,-0.061384,0.688702,0.826809,-0.035611,0.377119,0.857386,-0.045218,147,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,31,2026-05-13T05:47:24.099Z,0.998781,0.536136,0.562717,-0.094357,0.580616,0.517162,-0.054906,0.475272,0.530807,-0.062303,0.689228,0.830157,-0.030179,0.374106,0.862159,-0.047111,148,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,32,2026-05-13T05:47:24.368Z,0.99869,0.539,0.566549,-0.09415,0.580263,0.517845,-0.055154,0.476025,0.534583,-0.062282,0.688999,0.820595,-0.031544,0.375457,0.862436,-0.046244,148,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,33,2026-05-13T05:47:24.640Z,0.998757,0.538124,0.56762,-0.092134,0.580495,0.519363,-0.053936,0.476016,0.53481,-0.060931,0.688998,0.820785,-0.030921,0.374287,0.86396,-0.04567,147,,,,,,,,,
2026-05-13T05:47:25.900Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,34,2026-05-13T05:47:24.914Z,0.998749,0.53877,0.568572,-0.090949,0.580152,0.518764,-0.052967,0.476892,0.53688,-0.060905,0.687913,0.810323,-0.029747,0.378795,0.859085,-0.046123,148,,,,,,,,,
2026-05-13T05:47:25.901Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,35,2026-05-13T05:47:25.190Z,0.998836,0.539192,0.564007,-0.090337,0.581182,0.518082,-0.051148,0.475123,0.536778,-0.060297,0.68834,0.824403,-0.027805,0.373956,0.86534,-0.046567,148,,,,,,,,,
2026-05-13T05:47:25.901Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,36,2026-05-13T05:47:25.465Z,0.998913,0.5393,0.566967,-0.091898,0.58125,0.519592,-0.053896,0.475307,0.536768,-0.060319,0.689899,0.825,-0.032772,0.373136,0.865538,-0.044857,148,,,,,,,,,
2026-05-13T05:47:42.239Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,0,2026-05-13T05:47:32.352Z,0.998891,0.572396,0.54696,-0.162416,0.604824,0.507035,-0.112237,0.472993,0.542253,-0.123744,0.710508,0.810073,-0.076894,0.348201,0.879281,-0.091967,134,3685e22e4b8ad01509494dcddd4e0ef716304cedeef2e17973081798ff2c0d5d,148,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:42.239Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,1,2026-05-13T05:47:34.196Z,0.998915,0.552201,0.559088,-0.132688,0.607003,0.511137,-0.079976,0.45813,0.534925,-0.089274,0.754941,0.835858,-0.050968,0.319421,0.872152,-0.066581,133,3685e22e4b8ad01509494dcddd4e0ef716304cedeef2e17973081798ff2c0d5d,148,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:42.239Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,2,2026-05-13T05:47:35.202Z,0.998823,0.553001,0.560931,-0.13327,0.608631,0.511913,-0.080804,0.459577,0.534252,-0.09009,0.755297,0.827519,-0.049412,0.312921,0.873047,-0.065996,132,3685e22e4b8ad01509494dcddd4e0ef716304cedeef2e17973081798ff2c0d5d,148,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:42.239Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,3,2026-05-13T05:47:36.192Z,0.998612,0.550733,0.561911,-0.14062,0.607311,0.513595,-0.086878,0.458296,0.535938,-0.095355,0.754845,0.8261,-0.053201,0.310988,0.876367,-0.06842,132,3685e22e4b8ad01509494dcddd4e0ef716304cedeef2e17973081798ff2c0d5d,148,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:42.239Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,4,2026-05-13T05:47:37.198Z,0.998465,0.548391,0.561985,-0.134994,0.605397,0.51124,-0.081784,0.455484,0.536388,-0.08993,0.756257,0.820375,-0.048178,0.312048,0.877128,-0.064737,132,3685e22e4b8ad01509494dcddd4e0ef716304cedeef2e17973081798ff2c0d5d,148,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:42.239Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,5,2026-05-13T05:47:38.206Z,0.998536,0.54669,0.560331,-0.135216,0.606865,0.511163,-0.084067,0.453704,0.53555,-0.093269,0.755183,0.831795,-0.053823,0.30972,0.877047,-0.070884,132,3685e22e4b8ad01509494dcddd4e0ef716304cedeef2e17973081798ff2c0d5d,148,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:42.239Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,6,2026-05-13T05:47:39.200Z,0.99845,0.546899,0.562765,-0.131659,0.605558,0.51188,-0.077187,0.453474,0.535368,-0.089211,0.746058,0.812587,-0.044002,0.308487,0.878027,-0.066451,132,3685e22e4b8ad01509494dcddd4e0ef716304cedeef2e17973081798ff2c0d5d,148,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:42.239Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,7,2026-05-13T05:47:40.198Z,0.998534,0.543347,0.564185,-0.129491,0.604199,0.513738,-0.07724,0.44893,0.537774,-0.087386,0.746698,0.833264,-0.046193,0.307846,0.878387,-0.065425,132,3685e22e4b8ad01509494dcddd4e0ef716304cedeef2e17973081798ff2c0d5d,148,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:42.239Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,8,2026-05-13T05:47:41.206Z,0.998394,0.544195,0.564665,-0.133436,0.603671,0.514062,-0.07819,0.452525,0.534458,-0.088117,0.742011,0.829537,-0.045633,0.308259,0.875643,-0.062928,133,3685e22e4b8ad01509494dcddd4e0ef716304cedeef2e17973081798ff2c0d5d,148,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:42.239Z,posture_detect_batch,b6ac40d2-a18f-49d3-bd94-361ccbf01504,9,2026-05-13T05:47:42.191Z,0.998411,0.545838,0.563051,-0.132518,0.605908,0.514261,-0.077596,0.45352,0.531469,-0.087674,0.747617,0.834293,-0.045613,0.307019,0.872929,-0.063405,133,3685e22e4b8ad01509494dcddd4e0ef716304cedeef2e17973081798ff2c0d5d,148,0.07,0.05,0.12,0.05,false,60,0.5
2026-05-13T05:47:42.277Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,0,2026-05-13T05:47:32.352Z,0.998891,0.572396,0.54696,-0.162416,0.604824,0.507035,-0.112237,0.472993,0.542253,-0.123744,0.710508,0.810073,-0.076894,0.348201,0.879281,-0.091967,134,,,,,,,,,
2026-05-13T05:47:42.277Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,1,2026-05-13T05:47:34.196Z,0.998915,0.552201,0.559088,-0.132688,0.607003,0.511137,-0.079976,0.45813,0.534925,-0.089274,0.754941,0.835858,-0.050968,0.319421,0.872152,-0.066581,133,,,,,,,,,
2026-05-13T05:47:42.277Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,2,2026-05-13T05:47:35.202Z,0.998823,0.553001,0.560931,-0.13327,0.608631,0.511913,-0.080804,0.459577,0.534252,-0.09009,0.755297,0.827519,-0.049412,0.312921,0.873047,-0.065996,132,,,,,,,,,
2026-05-13T05:47:42.277Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,3,2026-05-13T05:47:36.192Z,0.998612,0.550733,0.561911,-0.14062,0.607311,0.513595,-0.086878,0.458296,0.535938,-0.095355,0.754845,0.8261,-0.053201,0.310988,0.876367,-0.06842,132,,,,,,,,,
2026-05-13T05:47:42.277Z,baseline_cal,b6ac40d2-a18f-49d3-bd94-361ccbf01504,4,2026-05-13T05:47:37.198Z,0.998465,0.548391,0.561985,-0.134994,0.605397,0.51124,-0.081784,0.455484,0.536388,-0.08993,0.756257,0.820375,-0.048178,0.312048,0.877128,-0.064737,132,,,,,,,,,
